category,language,Toronto,Montréal,Vancouver,Calgary,Edmonton
Aboriginal languages,"Aboriginal languages, n.o.s.",80,30,70,20,25
Non-Official & Non-Aboriginal languages,Afrikaans,985,90,1435,960,575
Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",360,240,45,45,65
Non-Official & Non-Aboriginal languages,Akan (Twi),8485,1015,400,705,885
Non-Official & Non-Aboriginal languages,Albanian,13260,2450,1090,1365,770
Non-Official & Non-Aboriginal languages,Wolof,165,2440,30,120,130
Aboriginal languages,Woods Cree,5,0,20,10,155
Non-Official & Non-Aboriginal languages,Wu (Shanghainese),5290,1025,4330,380,235
Non-Official & Non-Aboriginal languages,Yiddish,3355,8960,220,80,55
Non-Official & Non-Aboriginal languages,Yoruba,3380,210,190,1430,700
